Run,Marked State,Result Distribution
1,001,"{'001': 5268, '011': 1284, '000': 732, '101': 630, '010': 538, '100': 449, '110': 569, '111': 530}"
2,110,"{'010': 752, '100': 1174, '110': 5323, '001': 432, '000': 594, '101': 490, '111': 720, '011': 515}"
